Name,Position,Team,Price,1,2,3,4,5,6
Carroll,Forward,Newcastle,5.3,3,2.6,2.8,3.3,2.4,3.1
Thomas,Defender,Leicester,4.3,2.2,3.5,2.8,3,2.8,1.8
Livermore,Midfielder,West Brom,4.8,1.9,2.5,2.2,2.1,1.9,2.3
Hennessey,Goalkeeper,Crystal Palace,4.4,0,0,0,0,0,0
Douglas,Defender,Leeds,3.9,0,0,0,0,0,0
McBurnie,Forward,Sheffield Utd,5.7,1.9,2.3,2.2,1.8,1.8,1.9
Emerson,Defender,Chelsea,4.8,0.2,0.3,0.1,0.1,0.1,0.2
Ings,Forward,Southampton,8.4,0,0,0,0,0,0
Caballero,Goalkeeper,Chelsea,4.8,0.4,0.4,0.5,0.4,0.4,0.4
Stevens,Defender,Sheffield Utd,5.3,2.8,3.2,2.7,1.9,2.3,2.8
SeanLongstaff,Midfielder,Newcastle,4.8,1.8,1.1,1.1,1.4,1.1,1.4
James,Midfielder,Man Utd,6.3,4.4,3.2,2.6,2.4,3.1,4.1
Hourihane,Midfielder,Aston Villa,6,1.3,1,1.3,1,1.3,1.3
White,Defender,Brighton,4.5,2.3,2.5,2.4,2.1,3.2,3.9
Foderingham,Goalkeeper,Sheffield Utd,4.4,0,0,0,0,0,0
Bailly,Defender,Man Utd,4.9,0,0.7,0.7,0.6,1,0.9
Mahrez,Midfielder,Man City,8.3,3.8,4,5.6,3.1,5.4,3.8
Iwobi,Midfielder,Everton,5.9,1.1,1.2,1.1,1.1,1,1
Alexander-Arnold,Defender,Liverpool,7.4,0,0,0,0,0,0
Fosu-Mensah,Defender,Man Utd,4.4,1.2,0.7,0.9,0.8,1.2,1.3
ElMohamady,Defender,Aston Villa,4.4,0.4,0.3,0.4,0.3,0.4,0.4
Gunn,Goalkeeper,Southampton,4.4,0,0,0,0,0,0
Yarmolenko,Midfielder,West Ham,5.7,0.5,0.5,0.4,0.5,0.5,0.4
Gazzaniga,Goalkeeper,Spurs,4.4,0,0,0.1,0.1,0,0
Hart,Goalkeeper,Spurs,4.4,0,0,0,0,0,0
Lingard,Midfielder,Man Utd,5.9,1.3,1.2,1.3,1.4,1.5,2
Lansbury,Midfielder,Aston Villa,4.4,0,0,0,0,0,0
LeMarchand,Defender,Fulham,4.3,0.5,0.3,0.2,0.4,0.6,0.5
Roberts,Midfielder,Leeds,4.9,1.2,1.1,1.1,1.2,1.4,1
Foden,Midfielder,Man City,6.6,2.1,2.7,3.5,2.1,3.5,2.5
Hernandez,Midfielder,Leeds,5.8,1.3,1.2,1.4,1.5,1.5,1.1
Kean,Forward,Everton,5.8,0,0,0,0,0,0
Sims,Midfielder,Southampton,4.4,0,0,0,0,0,0
Amartey,Defender,Leicester,4,0,0,0,0,0,0
Tete,Defender,Fulham,4.4,0.4,1.1,0.7,1.3,2,1.6
Sarkic,Goalkeeper,Wolves,4.5,0,0,0,0,0,0
Poveda-Ocampo,Midfielder,Leeds,4.4,0.5,0.5,0.5,0.5,0.5,0.4
Fleck,Midfielder,Sheffield Utd,5.7,0,0,1.1,1,1,1
Giroud,Forward,Chelsea,6.7,0.5,0.5,0.6,0.5,0.5,0.6
DavidLuiz,Defender,Arsenal,5.5,2.4,3,1.8,3.5,2.5,2.1
Buur,Defender,Wolves,4,0.1,0.1,0.1,0.1,0.1,0.1
Schlupp,Midfielder,Crystal Palace,5.5,2.4,2.7,2.8,2.1,2.2,2.2
Bertrand,Defender,Southampton,5,1.5,2.3,3.4,4.4,2.3,2
Tierney,Defender,Arsenal,5.4,1.5,0.9,1.3,1.6,0.9,0.8
Stephens,Defender,Southampton,4.8,3,3.4,2.3,4.1,2.9,2.9
Milivojevic,Midfielder,Crystal Palace,5.7,0,0,1.5,1.2,1.2,1.2
Mitchell,Defender,Crystal Palace,4.2,0,2.6,2.6,1.9,1.9,2.1
Milner,Midfielder,Liverpool,5.3,0.6,0.6,0.6,0.7,0.6,0.5
Bryan,Defender,Fulham,4.8,1.2,0.8,0.5,1,1.4,1.2
Harrison,Midfielder,Leeds,5.5,3.1,3.1,3,3.4,3.6,2.7
Fredericks,Defender,West Ham,4.4,1.3,1.1,0.8,1,1.1,0.7
Allan,Midfielder,Everton,5.4,2.7,2.9,2.7,2.5,2.2,2.4
Bergwijn,Midfielder,Spurs,7.1,1.3,1.3,1.3,1.3,1.3,1.3
Campana,Forward,Wolves,4.9,0,0,0,0,0,0
LoCelso,Midfielder,Spurs,6.9,1.1,1.2,1.2,1.3,1.2,1.2
Bednarek,Defender,Southampton,4.5,2.8,2.3,3.4,4.4,2.6,2.1
Gordon,Midfielder,Everton,4.4,0.4,0.4,0.3,0.4,0.3,0.3
Watts,Defender,Newcastle,4,0,0,0,0,0,0
Burn,Defender,Brighton,4.4,1.4,1.5,1.4,1.2,1.9,2.3
Arrizabalaga,Goalkeeper,Chelsea,4.8,1.2,1.7,1.7,1.5,1.4,1.5
Carter-Vickers,Defender,Spurs,4,0,0,0,0,0,0
Elliott,Midfielder,Liverpool,4.4,0,0,0,0,0,0
Moutinho,Midfielder,Wolves,5.3,1.5,1.3,1.4,1.5,1.5,1.5
Kelly,Defender,Crystal Palace,4.3,0.1,0,0,0.1,0,0
Bartley,Defender,West Brom,4.5,0.6,1.7,1.2,1.3,0.5,1.3
Rodrigo,Forward,Leeds,5.8,0,0,0,0,0,0
Pepe,Midfielder,Arsenal,7.7,1.1,1,0.9,1.2,1.1,1
Sanchez,Defender,Spurs,5.4,2,1.8,2.6,2.5,2.2,2.5
Henderson,Midfielder,Liverpool,5.4,3,2.7,2.9,3.2,2.9,2.8
Albrighton,Midfielder,Leicester,5.3,1.6,1,0.8,0.8,0.8,0.7
McCarthy,Midfielder,Crystal Palace,4.5,2.1,2.3,2.1,1.8,1.7,1.9
Iheanacho,Forward,Leicester,5.7,0.7,1,0.7,0.8,0.8,0.6
Kolasinac,Defender,Arsenal,4.8,0.8,0.9,0.6,1.1,0.8,0.8
Wood,Forward,Burnley,6.3,4,2.7,3.7,2.9,3.5,3.2
Gibson,Defender,Burnley,4,0,0,0,0,0,0
ElGhazi,Midfielder,Aston Villa,5.8,0.4,0.3,0.4,0.3,0.4,0.4
Johnson,Defender,West Ham,4,0.4,0.4,0.3,0.4,0.4,0.3
Moore,Goalkeeper,Sheffield Utd,4.4,0,0,0,0,0,0
Reed,Midfielder,Fulham,4.5,2,1.4,1.4,1.6,2,1.7
Alli,Midfielder,Spurs,7.5,1.8,1.9,2.1,2,2.1,2.2
Telles,Defender,Man Utd,5.5,0,0,0,0,0,0
